Date,vis_team,home_team,vis_score,home_score
20170715,WAS,CIN,10,7
20170716,WAS,CIN,14,4
20170717,WAS,CIN,6,1
20170718,ARI,CIN,11,2
20170719,ARI,CIN,3,4
20170720,ARI,CIN,12,2
20170721,MIA,CIN,3,1
20170722,MIA,CIN,5,4
20170723,MIA,CIN,3,6
20170804,SLN,CIN,2,3
20170805,SLN,CIN,4,1
20170806,SLN,CIN,13,4
20170807,SDN,CIN,3,11
20170808,SDN,CIN,7,3
20170809,SDN,CIN,3,8
20170810,SDN,CIN,3,10
20170822,CHN,CIN,13,9
20170823,CHN,CIN,9,3
20170824,CHN,CIN,2,4
20170825,PIT,CIN,5,9
20170826,PIT,CIN,1,0
20170827,PIT,CIN,5,2
20170829,NYN,CIN,4,14
20170830,NYN,CIN,2,0
20170831,NYN,CIN,2,7
20170904,MIL,CIN,4,5
20170905,MIL,CIN,3,9
20170906,MIL,CIN,1,7
20170915,PIT,CIN,2,4
20170916,PIT,CIN,1,2
20170917,PIT,CIN,2,5
20170919,SLN,CIN,8,7
20170920,SLN,CIN,9,2
20170921,SLN,CIN,8,5
20170922,BOS,CIN,5,4
20170923,BOS,CIN,5,0
20170924,BOS,CIN,5,4
20170411,CHA,CLE,1,2
20170412,CHA,CLE,2,1
20170413,CHA,CLE,10,4
20170414,DET,CLE,7,6
20170415,DET,CLE,6,13
20170416,DET,CLE,4,1
20170425,HOU,CLE,4,2
20170426,HOU,CLE,6,7
20170427,HOU,CLE,3,4
20170428,SEA,CLE,3,1
20170429,SEA,CLE,3,4
20170430,SEA,CLE,4,12
20170512,MIN,CLE,1,0
20170513,MIN,CLE,4,1
20170514,MIN,CLE,3,8
20170515,TBA,CLE,7,8
20170516,TBA,CLE,6,4
20170517,TBA,CLE,7,4
20170524,CIN,CLE,4,3
20170526,KCA,CLE,6,4
20170527,KCA,CLE,5,2
20170528,KCA,CLE,1,10
20170529,OAK,CLE,3,5
20170530,OAK,CLE,4,9
20170531,OAK,CLE,3,1
20170601,OAK,CLE,0,8
20170609,CHA,CLE,3,7
20170610,CHA,CLE,5,3
20170611,CHA,CLE,2,4
20170613,LAN,CLE,7,5
20170614,LAN,CLE,6,4
20170615,LAN,CLE,5,12
20170623,MIN,CLE,5,0
20170624,MIN,CLE,4,2
20170625,MIN,CLE,4,0
20170626,TEX,CLE,9,15
20170627,TEX,CLE,2,1
20170628,TEX,CLE,3,5
20170629,TEX,CLE,1,5
20170704,SDN,CLE,1,0
20170705,SDN,CLE,6,2
20170706,SDN,CLE,2,11
20170707,DET,CLE,2,11
20170708,DET,CLE,0,4
20170709,DET,CLE,5,3
20170721,TOR,CLE,3,13
20170722,TOR,CLE,1,2
20170723,TOR,CLE,1,8
20170724,CIN,CLE,2,6
20170725,ANA,CLE,7,11
20170726,ANA,CLE,4,10
20170727,ANA,CLE,1,2
20170803,NYA,CLE,1,5
20170804,NYA,CLE,2,7
20170805,NYA,CLE,2,1
20170806,NYA,CLE,8,1
20170808,COL,CLE,1,4
20170809,COL,CLE,3,2
20170821,BOS,CLE,4,5
20170822,BOS,CLE,9,1
20170823,BOS,CLE,6,1
20170824,BOS,CLE,6,13
20170825,KCA,CLE,0,4
20170826,KCA,CLE,0,4
20170827,KCA,CLE,0,12
20170908,BAL,CLE,0,5
20170909,BAL,CLE,2,4
20170910,BAL,CLE,2,3
20170911,DET,CLE,0,11
20170912,DET,CLE,0,2
20170913,DET,CLE,3,5
20170914,KCA,CLE,2,3
20170915,KCA,CLE,4,3
20170916,KCA,CLE,4,8
20170917,KCA,CLE,2,3
20170926,MIN,CLE,8,6
20170927,MIN,CLE,2,4
20170928,MIN,CLE,2,5
20170929,CHA,CLE,1,10
20170930,CHA,CLE,2,1
20171001,CHA,CLE,1,3
20170407,LAN,COL,1,2
20170408,LAN,COL,2,4
20170409,LAN,COL,10,6
20170410,SDN,COL,5,3
20170411,SDN,COL,2,3
20170412,SDN,COL,6,0
20170421,SFN,COL,5,6
20170422,SFN,COL,3,12
20170423,SFN,COL,0,8
20170424,WAS,COL,4,8
20170425,WAS,COL,15,12
20170426,WAS,COL,11,4
20170427,WAS,COL,16,5
20170505,ARI,COL,6,3
20170506,ARI,COL,1,9
20170507,ARI,COL,2,5
20170509,CHN,COL,4,10
20170509,CHN,COL,8,1
20170510,CHN,COL,0,3
20170511,LAN,COL,7,10
20170512,LAN,COL,6,2
20170513,LAN,COL,4,0
20170514,LAN,COL,6,9
20170526,SLN,COL,0,10
20170527,SLN,COL,3,0
20170528,SLN,COL,4,8
20170529,SEA,COL,6,5
20170530,SEA,COL,10,4
20170606,CLE,COL,3,11
20170607,CLE,COL,1,8
20170615,SFN,COL,9,10
20170616,SFN,COL,8,10
20170617,SFN,COL,1,5
20170618,SFN,COL,5,7
20170620,ARI,COL,3,4
20170621,ARI,COL,16,5
20170622,ARI,COL,10,3
20170703,CIN,COL,3,5
20170704,CIN,COL,8,1
20170705,CIN,COL,3,5
20170706,CIN,COL,6,3
20170707,CHA,COL,4,12
20170708,CHA,COL,5,4
20170709,CHA,COL,0,10
20170717,SDN,COL,6,9
20170718,SDN,COL,7,9
20170719,SDN,COL,4,18
20170721,PIT,COL,13,5
20170722,PIT,COL,3,7
20170723,PIT,COL,3,13
20170801,NYN,COL,4,5
20170802,NYN,COL,10,5
20170803,NYN,COL,4,5
20170804,PHI,COL,3,4
20170805,PHI,COL,5,8
20170806,PHI,COL,3,2
20170814,ATL,COL,0,3
20170815,ATL,COL,4,3
20170816,ATL,COL,2,17
20170817,ATL,COL,10,4
20170818,MIL,COL,4,8
20170819,MIL,COL,6,3
20170820,MIL,COL,8,4
20170828,DET,COL,4,3
20170829,DET,COL,3,7
20170830,DET,COL,6,2
20170901,ARI,COL,9,5
20170902,ARI,COL,6,2
20170903,ARI,COL,5,1
20170904,SFN,COL,3,4
20170905,SFN,COL,6,9
20170906,SFN,COL,11,3
20170915,SDN,COL,1,6
20170916,SDN,COL,0,16
20170917,SDN,COL,4,3
20170925,MIA,COL,5,4
20170926,MIA,COL,0,6
20170927,MIA,COL,9,15
20170929,LAN,COL,1,9
20170930,LAN,COL,5,3
20171001,LAN,COL,6,3
20170407,BOS,DET,5,6
20170408,BOS,DET,1,4
20170409,BOS,DET,7,5
20170410,BOS,DET,1,2
20170411,MIN,DET,1,2
20170412,MIN,DET,3,5
20170413,MIN,DET,11,5
20170425,SEA,DET,9,19
20170426,SEA,DET,8,0
20170427,SEA,DET,2,1
20170428,CHA,DET,7,3
20170429,CHA,DET,6,4
20170430,CHA,DET,3,7
20170501,CLE,DET,1,7
20170502,CLE,DET,2,5
20170503,CLE,DET,3,2
20170516,BAL,DET,13,11
20170517,BAL,DET,4,5
20170518,BAL,DET,5,6
20170519,TEX,DET,5,3
20170520,TEX,DET,3,9
20170521,TEX,DET,5,2
20170602,CHA,DET,5,15
20170603,CHA,DET,1,10
20170604,CHA,DET,4,7
20170606,ANA,DET,5,3
20170607,ANA,DET,0,4
20170608,ANA,DET,11,4
20170613,ARI,DET,7,6
20170614,ARI,DET,2,1
20170615,TBA,DET,3,5
20170616,TBA,DET,4,13
20170617,TBA,DET,3,2
20170618,TBA,DET,9,1
20170627,KCA,DET,3,5
20170628,KCA,DET,8,2
20170629,KCA,DET,3,7
20170701,CLE,DET,4,7
20170701,CLE,DET,4,1
20170702,CLE,DET,11,8
20170704,SFN,DET,3,5
20170705,SFN,DET,5,4
20170706,SFN,DET,2,6
20170714,TOR,DET,7,2
20170715,TOR,DET,1,11
20170716,TOR,DET,5,6
20170724,KCA,DET,5,3
20170725,KCA,DET,3,1
20170726,KCA,DET,16,2
20170728,HOU,DET,6,5
20170729,HOU,DET,3,5
20170730,HOU,DET,1,13
20170809,PIT,DET,0,10
20170810,PIT,DET,7,5
20170811,MIN,DET,9,4
20170812,MIN,DET,11,12
20170813,MIN,DET,6,4
20170818,LAN,DET,8,5
20170819,LAN,DET,3,0
20170820,LAN,DET,1,6
20170822,NYA,DET,13,4
20170823,NYA,DET,10,2
20170824,NYA,DET,6,10
20170901,CLE,DET,3,2
20170901,CLE,DET,10,0
20170902,CLE,DET,5,2
20170903,CLE,DET,11,1
20170904,KCA,DET,7,6
20170905,KCA,DET,2,13
20170906,KCA,DET,13,2
